2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:42,713 INFO osmnx Found nearest node (21665930) to point (51.513027, -0.139209) in 0.01 seconds
2019-06-27 11:20:42,719 INFO osmnx Found nearest node (2784434327) to point (51.512831, -0.138427) in 0.01 seconds
2019-06-27 11:20:42,725 INFO osmnx Found nearest node (2784434327) to point (51.512885, -0.138624) in 0.01 seconds
2019-06-27 11:20:42,732 INFO osmnx Found nearest node (25473513) to point (51.512526, -0.138096) in 0.01 seconds
2019-06-27 11:20:42,738 INFO osmnx Found nearest node (25473512) to point (51.512465, -0.138035) in 0.01 seconds
2019-06-27 11:20:42,744 INFO osmnx Found nearest node (25473512) to point (51.512428, -0.137984) in 0.01 seconds
2019-06-27 11:20:42,750 INFO osmnx Found nearest node (25473512) to point (51.512415000000004, -0.13806500000000002) in 0.01 seconds
2019-06-27 11:20:42,757 INFO osmnx Found nearest node (25473513) to point (51.51251, -0.138194) in 0.01 seconds
2019-06-27 11:20:42,763 INFO osmnx Found nearest node (25473512) to point (51.512378000000005, -0.137818) in 0.01 seconds
2019-06-27 11:20:42,770 INFO osmnx Found nearest node (25473288) to point (51.512446999999995, -0.137656) in 0.01 seconds
2019-06-27 11:20:42,776 INFO osmnx Found nearest node (25473288) to point (51.512491, -0.13758399999999998) in 0.01 seconds
2019-06-27 11:20:42,782 INFO osmnx Found nearest node (25473288) to point (51.512374, -0.13765) in 0.01 seconds
2019-06-27 11:20:42,789 INFO osmnx Found nearest node (25473288) to point (51.512339000000004, -0.13745) in 0.01 seconds
2019-06-27 11:20:42,795 INFO osmnx Found nearest node (25473288) to point (51.512364, -0.137376) in 0.01 seconds
